Anos,AC_estadual,AM_estadual,AP_estadual,MA_estadual,MT_estadual,PA_estadual,RO_estadual,RR_estadual,TO_estadual,AC_federal,AM_federal,AP_federal,MA_federal,MT_federal,PA_federal,RO_federal,RR_federal,TO_federal
1999,,,,,8305.0,,,,,2583.0,,,,,,74508.0,,
2000,,,,,118.0,,,,32742.0,157594.0,,,,,,,,
2001,,,,,638547.0,3675.0,,,171309.0,251881.0,2170971.0,,,,246121.0,632273.0,,634133.0
2002,,,,,436787.0,90557.0,,,,774198.0,854782.0,3823261.0,362940.0,,61250.0,,,130950.0
2003,,3879514.0,,,9216.0,,,,,,,,,,,,,
2004,1146767.0,424302.0,,,108406.0,,,,,,305697.0,,86760.0,,2029781.0,222546.0,,
2005,,3269968.0,,122.0,,,,,,326490.0,1084975.0,,160720.0,,4615650.0,,263427.0,
2006,,866765.0,2370666.0,,291.0,13011536.0,,,,,2743139.0,,,1181357.0,4994643.0,124920.0,,
2007,,409965.0,,,98416.0,,,,,,,,,,,,,
2008,,104148.0,,,,,,,,,5284219.0,,,,307506.0,174294.0,,
2009,26135.0,2328580.0,,,,,,,,,,,,,211504.0,,,
2010,,,,,,71654.0,8867.0,,,,,,,,,,,
2014,,77426.0,,79710.0,,,,,,,672612.0,,,,49225.0,,,
2016,,,,,,33679.0,,,,,2553538.0,,,,,,,
2017,155896.0,,,,,,,,,,,,,,79382.0,,,
2018,,,,,,242.0,399532.0,,,,190809.0,,200603.0,,,,391840.0,
2020,,,,,44.0,,,,,,,,,,,,,
